,results,full_text,entities,created_at,favourite,retweets
10,1313642815054897152,His all time favorite ad. Disgraceful! https://t.co/tcZ2ux6LYE,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tcZ2ux6LYE', 'expanded_url': 'https://twitter.com/paulsperry_/status/1313260956982575104', 'display_url': 'twitter.com/paulsperry_/st…', 'indices': [39, 62]}]}",2020-10-07 00:50:28,37735,11192
11,1313642403044167680,Can’t believe these con men are not yet being PROSECUTED. Pathetic! https://t.co/FXn48qMHdE,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FXn48qMHdE', 'expanded_url': 'https://twitter.com/paulsperry_/status/1313263550002008065', 'display_url': 'twitter.com/paulsperry_/st…', 'indices': [68, 91]}]}",2020-10-07 00:48:49,49903,15993
12,1313641459082563584,It will be fast and easy! https://t.co/Foq5cJWrzX,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Foq5cJWrzX', 'expanded_url': 'https://twitter.com/paulsperry_/status/1313274839294251016', 'display_url': 'twitter.com/paulsperry_/st…', 'indices': [26, 49]}]}",2020-10-07 00:45:04,40848,10898
13,1313641120853884934,Because Mueller and his 18 Angry Democrats were illegally in on the SCAM? https://t.co/ynEAchAWPA,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ynEAchAWPA', 'expanded_url': 'https://twitter.com/paulsperry_/status/1313281918092410882', 'display_url': 'twitter.com/paulsperry_/st…', 'indices': [74, 97]}]}",2020-10-07 00:43:44,34840,10937
14,1313640512025513984,"I have fully authorized the total Declassification of any &amp; all documents pertaining to the single greatest political CRIME in American History, the Russia Hoax. Likewise, the Hillary Clinton Email Scandal. No redactions! https://t.co/GgnHh9GOiq","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GgnHh9GOiq', 'expanded_url': 'https://twitter.com/paulsperry_/status/1313292997057015808', 'display_url': 'twitter.com/paulsperry_/st…', 'indices': [226, 249]}]}",2020-10-07 00:41:18,136372,51889
15,1313630105831383041,Republicans need to get smart and confirm Nate Simington to the FCC ASAP! @SenatorWicker Thank you!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SenatorWicker', 'name': 'Senator Roger Wicker', 'id': 264219447, 'id_str': '264219447', 'indices': [74, 88]}], 'urls': []}",2020-10-06 23:59:57,55414,13574
16,1313624267842560000,"Crazy Nancy Pelosi and the Radical Left Democrats were just playing “games” with the desperately needed Workers Stimulus Payments.They just wanted to take care of Democrat failed, high crime, Cities and States. They were never in it to help the workers, and they never will be!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 23:36:46,119403,30235
17,1313615182535499779,True! https://t.co/ZJmcxG2CoO,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZJmcxG2CoO', 'expanded_url': 'https://twitter.com/cnbcnow/status/1313489457983754254', 'display_url': 'twitter.com/cnbcnow/status…', 'indices': [6, 29]}]}",2020-10-06 23:00:39,43636,10473
18,1313584866932527105,"How does Biden lead in Pennsylvania Polls when he is against Fracking (JOBS!), 2nd Amendment and Religion? Fake Polls. I will win Pennsylvania!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 21:00:12,215328,41503
19,1313551798142152704,"...also coming back in record numbers. We are leading the World in Economic Recovery, and THE BEST IS YET TO COME!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 18:48:47,95837,20447
20,1313551796644831233,"...@senatemajldr Mitch McConnell not to delay, but to instead focus full time on approving my outstanding nominee to the United States Supreme Court, Amy Coney Barrett. Our Economy is doing very well. The Stock Market is at record levels, JOBS and unemployment...","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [3, 16]}], 'urls': []}",2020-10-06 18:48:47,87493,18559
21,1313551795646541824,"...request, and looking to the future of our Country. I have instructed my representatives to stop negotiating until after the election when, immediately after I win, we will pass a major Stimulus Bill that focuses on hardworking Americans and Small Business. I have asked...","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 18:48:47,60319,14922
22,1313551794623127552,"Nancy Pelosi is asking for $2.4 Trillion Dollars to bailout poorly run, high crime, Democrat States, money that is in no way related to COVID-19. We made a very generous offer of $1.6 Trillion Dollars and, as usual, she is not negotiating in good faith. I am rejecting their...","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 18:48:47,160608,42380
23,1313529166265020417,"Did anyone get to see that absolute “Joke” of a Town Hall interview that Joe Biden did with Concast @NBCNews , hosted by Lester Holt? What a disgrace to our Country that FREE public airwaves can be used that way. All SOFTBALLS. A big FIX. Time should be paid by the corrupt DNC!","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NBCNews', 'name': 'NBC News', 'id': 14173315, 'id_str': '14173315', 'indices': [100, 108]}], 'urls': []}",2020-10-06 17:18:52,118195,27564
24,1313511340124917760,REPEAL SECTION 230!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 16:08:02,158284,36181
25,1313510118437392384,"The Fake News Media refuses to discuss how good the Economy and Stock Market, including JOBS under the Trump Administration, are doing. We will soon be in RECORD TERRITORY. All they want to discuss is COVID 19, where they won’t say it, but we beat the Dems all day long, also!!!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 16:03:10,120575,28765
26,1313507608196771841,https://t.co/519BvRfcU2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313498500802531328, 'id_str': '1313498500802531328', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1313498500802531328/img/_TVwCcVe_kM0xowK.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1313498500802531328/img/_TVwCcVe_kM0xowK.jpg', 'url': 'https://t.co/519BvRfcU2', 'display_url': 'pic.twitter.com/519BvRfcU2', 'expanded_url': 'https://twitter.com/TeamTrump/status/1313504342536843264/video/1', 'type': 'photo', 'sizes': {'medium': {'w': 720, 'h': 400, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 400, 'resize': 'fit'}, 'small': {'w': 680, 'h': 378, 'resize': 'fit'}}, 'source_status_id': 1313504342536843264, 'source_status_id_str': '1313504342536843264', 'source_user_id': 729676086632656900, 'source_user_id_str': '729676086632656900'}]}",2020-10-06 15:53:12,62918,16870
27,1313505418866552833,THANK YOU! https://t.co/NvawGFpSIl,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313498466421805056, 'id_str': '1313498466421805056', 'indices': [11, 34], 'media_url': 'http://pbs.twimg.com/media/Ejp_ATXXYAMQ-c8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ejp_ATXXYAMQ-c8.jpg', 'url': 'https://t.co/NvawGFpSIl', 'display_url': 'pic.twitter.com/NvawGFpSIl', 'expanded_url': 'https://twitter.com/TeamTrump/status/1313502554320404481/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 406, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 406, 'resize': 'fit'}}, 'source_status_id': 1313502554320404481, 'source_status_id_str': '1313502554320404481', 'source_user_id': 729676086632656900, 'source_user_id_str': '729676086632656900'}]}",2020-10-06 15:44:30,66579,16614
28,1313505094739034112,https://t.co/uDd4gPysV0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313498425946767360, 'id_str': '1313498425946767360', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/Ejp-MPbWkAYOc5C.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ejp-MPbWkAYOc5C.jpg', 'url': 'https://t.co/uDd4gPysV0', 'display_url': 'pic.twitter.com/uDd4gPysV0', 'expanded_url': 'https://twitter.com/TeamTrump/status/1313501331416584192/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 406, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 406, 'resize': 'fit'}}, 'source_status_id': 1313501331416584192, 'source_status_id_str': '1313501331416584192', 'source_user_id': 729676086632656900, 'source_user_id_str': '729676086632656900'}]}",2020-10-06 15:43:12,65688,16048
29,1313503322087870465,"Mini Mike Bloomberg, who made a fool of himself on the Dems debate stage when Elizabeth Warren &amp; the others simply took him apart, is going “crazy” trying to buy his way back into the Liberal Democrat’s hearts. His Florida ads are lies. I am much better for SENIORS than Sleepy!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 15:36:10,105590,24010
30,1313494418314457090,"NEW MEXICO! Today is the last day you can register to vote online or via mail. Make sure your vote counts! 
https://t.co/WwzdPhDkAZ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WwzdPhDkAZ', 'expanded_url': 'http://vote.donaldjtrump.com', 'display_url': 'vote.donaldjtrump.com', 'indices': [108, 131]}]}",2020-10-06 15:00:47,55121,13812
31,1313489709847531520,"I am looking forward to the debate on the evening of Thursday, October 15th in Miami. It will be great!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 14:42:04,244128,38882
32,1313489465139134464,FEELING GREAT!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 14:41:06,501580,65053
33,1313449844413992961,"Flu season is coming up! Many people every year, sometimes over 100,000, and despite the Vaccine, die from the Flu. Are we going to close down our Country? No, we have learned to live with it, just like we are learning to live with Covid, in most populations far less lethal!!!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 12:03:40,0,0
34,1313445293912920064,"Biden and Democrats just clarified the fact that they are fully in favor of (very) LATE TERM ABORTION, right up until the time of birth, and beyond - which would be execution. Biden even endorsed the Governor of Virginia, who stated this clearly for all to hear. GET OUT &amp; VOTE!!!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 11:45:35,197586,57422
35,1313443879253946370,Wow. Joe Biden just took a more Liberal position on Roe v. Wade than Elizabeth Warren at her highest. He also wants to PACK our great United States Supreme Court. This is what the Dems will do. Remember as they try changing positions before elections end. GET OUT AND VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-06 11:39:58,153637,38165
36,1313267615083761665,https://t.co/OxmRcZ5nUZ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313267292910825478, 'id_str': '1313267292910825478', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1313267292910825478/pu/img/PpkOL1P_XDz9sI6F.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1313267292910825478/pu/img/PpkOL1P_XDz9sI6F.jpg', 'url': 'https://t.co/OxmRcZ5nUZ', 'display_url': 'pic.twitter.com/OxmRcZ5nUZ', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/1313267615083761665/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",2020-10-05 23:59:33,371424,88989
37,1313267143232942081,https://t.co/Sn4yTTg8eB,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1313266976387665925, 'id_str': '1313266976387665925', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1313266976387665925/pu/img/cgvywfBbbb0M095k.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1313266976387665925/pu/img/cgvywfBbbb0M095k.jpg', 'url': 'https://t.co/Sn4yTTg8eB', 'display_url': 'pic.twitter.com/Sn4yTTg8eB', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/1313267143232942081/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",2020-10-05 23:57:40,310392,69177
38,1313266827653414913,"....invincible hero, who not only survived every dirty trick the Democrats threw at him, but the Chinese virus as well. He will show America we no longer have to be afraid.” @MirandaDevine @NYPost  Thank you Miranda. Was over until the Plague came in from China. Will win anyway!","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mirandadevine', 'name': 'Miranda Devine', 'id': 32201297, 'id_str': '32201297', 'indices': [174, 188]}, {'screen_name': 'nypost', 'name': 'New York Post', 'id': 17469289, 'id_str': '17469289', 'indices': [189, 196]}], 'urls': []}",2020-10-05 23:56:25,103444,21503
39,1313266826718187521,"“You see it in enthusiasm for the President outside Walter Reed Hospital. You see it in Registrations, from Florida to Pennsylvania &amp; West Virginia, where Republicans are outstripping Democrats by 2 to 1. If the President bounces back onto the campaign trail, he will be an....","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 23:56:25,135778,28507
40,1313243541959737349,Will be back on the Campaign Trail soon!!! The Fake News only shows the Fake Polls.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 22:23:53,367827,61022
41,1313220863735533570,"STOCK MARKET UP BIG, 466 Points!  28,149. Great News for America. Jobs, Jobs, Jobs!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 20:53:47,277090,48178
42,1313186529058136070,"I will be leaving the great Walter Reed Medical Center today at 6:30 P.M. Feeling really good! Don’t be afraid of Covid. Don’t let it dominate your life. We have developed, under the Trump Administration, some really great drugs &amp; knowledge. I feel better than I did 20 years ago!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 18:37:21,591214,130771
43,1313183801732890624,"It is reported that the Media is upset because I got into a secure vehicle to say thank you to the many fans and supporters who were standing outside of the hospital for many hours, and even days, to pay their respect to their President. If I didn’t do it, Media would say RUDE!!!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 18:26:30,299708,52954
44,1313152454058340352,Exclusive Excerpt--Lewandowski &amp; Bossie: ‘Trump: America First: The President Succeeds Against All Odds’ https://t.co/8NVtLK2VU9 via @BreitbartNews,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BreitbartNews', 'name': 'Breitbart News', 'id': 457984599, 'id_str': '457984599', 'indices': [137, 151]}], 'urls': [{'url': 'https://t.co/8NVtLK2VU9', 'expanded_url': 'https://www.breitbart.com/politics/2020/10/01/exclusive-excerpt-lewandowski-bossie-trump-america-first-the-president-succeeds-against-all-odds/', 'display_url': 'breitbart.com/politics/2020/…', 'indices': [109, 132]}]}",2020-10-05 16:21:56,80989,19124
45,1313136308152401922,"Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain
https://t.co/3AnrRV7uSz","{'hashtags': [{'text': 'MakeAmericaGreatAgain', 'indices': [62, 84]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3AnrRV7uSz', 'expanded_url': 'http://ArmyForTrump.com', 'display_url': 'ArmyForTrump.com', 'indices': [85, 108]}]}",2020-10-05 15:17:47,94468,24600
46,1313088617863098368,"TODAY is the LAST day to register to VOTE in ARIZONA, FLORIDA, GEORGIA, OHIO, AND TEXAS! Click below for more information, and let’s #MAGA! https://t.co/gsFSghkmdM","{'hashtags': [{'text': 'MAGA', 'indices': [133, 138]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gsFSghkmdM', 'expanded_url': 'http://Vote.DonaldJTrump.com', 'display_url': 'Vote.DonaldJTrump.com', 'indices': [140, 163]}]}",2020-10-05 12:08:17,114480,30889
47,1313075159721537537,PEACE THROUGH STRENGTH (BRING OUR SOLDIERS HOME). VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:14:48,257015,47835
48,1313074676168568832,SAVE OUR SECOND AMENDMENT. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:12:53,317705,56638
49,1313074061757554688,FIGHT THE CORRUPT FAKE NEWS MEDIA. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:10:26,383559,67641
50,1313073591974592512,PROTECT PREEXISTING CONDITIONS. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:08:34,249838,44130
51,1313073215279779841,BETTER &amp; CHEAPER HEALTHCARE. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:07:04,230514,40092
52,1313072768372617217,PRO LIFE! VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:05:18,498979,77373
53,1313072443905454082,MASSIVE REGULATION CUTS. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:04:00,202313,35879
54,1313071950781181953,SPACE FORCE. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:02:03,318335,48683
55,1313071677534765056,BEST V.A. EVER. 91% APPROVAL RATING. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 11:00:58,198417,34962
56,1313070848027357188,401(K). VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 10:57:40,229571,36387
57,1313069956167340032,"BIGGEST TAX CUT EVER, AND ANOTHER ONE COMING. VOTE!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 10:54:07,232438,42089
58,1313069363889569794,RELIGIOUS LIBERTY. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 10:51:46,253132,44295
59,1313069086931378177,LAW &amp; ORDER. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 10:50:40,238815,43069
60,1313068701176999941,STRONGEST EVER MILITARY. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 10:49:08,254753,42213
61,1313068347085422594,STOCK MARKET HIGHS. VOTE!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 10:47:44,257952,41677
62,1313067803449217024,"Virginia Voters! Your Governor wants to obliterate your Second Amendment. I have stopped him. I am the only thing between you and your Second Amendment. Working hard in Virginia. It’s IN PLAY. Better Vote for your favorite President, or wave goodbye to low taxes and gun rights!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 10:45:34,174014,39894
63,1313063990797504512,"IF YOU WANT A MASSIVE TAX INCREASE, THE BIGGEST IN THE HISTORY OF OUR COUNTRY (AND ONE THAT WILL SHUT OUR ECONOMY AND JOBS DOWN), VOTE DEMOCRAT!!!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-05 10:30:25,269821,53954
64,1313061137366298625,"“I’m voting for Donald Trump. My father is a Union Worker and his 401K has tripled under President Trump.” USA Voter. @foxandfriends  Thank you, and remember that the Stock Market is getting ready to break its all time high. NEXT YEAR WILL BE THE BEST EVER. VOTE, VOTE, VOTE!!!!!","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'foxandfriends', 'name': 'FOX & friends', 'id': 15513604, 'id_str': '15513604', 'indices': [118, 132]}], 'urls': []}",2020-10-05 10:19:05,185488,36484
65,1312864232711520257,https://t.co/0Bm9W2u1x7,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1312863604174196736, 'id_str': '1312863604174196736', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1312863604174196736/pu/img/xiB0u-yKs20JLKCZ.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1312863604174196736/pu/img/xiB0u-yKs20JLKCZ.jpg', 'url': 'https://t.co/0Bm9W2u1x7', 'display_url': 'pic.twitter.com/0Bm9W2u1x7', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/1312864232711520257/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",2020-10-04 21:16:39,507632,103246
66,1312845448697262084,https://t.co/8xHPsM2N3B,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8xHPsM2N3B', 'expanded_url': 'https://www.express.co.uk/news/world/1343305/US-election-poll-donald-trump-coronavirus-covid-joe-biden-exclusive-polling', 'display_url': 'express.co.uk/news/world/134…', 'indices': [0, 23]}]}",2020-10-04 20:02:01,181376,40710
67,1312842736563879936,"I really appreciate all of the fans and supporters outside of the hospital. The fact is, they really love our Country and are seeing how we are MAKING IT GREATER THAN EVER BEFORE!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",2020-10-04 19:51:14,597525,91131
68,1312824094677663745,https://t.co/gsFSghkmdM,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gsFSghkmdM', 'expanded_url': 'http://Vote.DonaldJTrump.com', 'display_url': 'Vote.DonaldJTrump.com', 'indices': [0, 23]}]}",2020-10-04 18:37:09,163089,33645
69,1312713748398866432,Thank you so much! https://t.co/UL6P5lRjZI,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UL6P5lRjZI', 'expanded_url': 'https://twitter.com/DanScavino/status/1312603370239283200', 'display_url': 'twitter.com/DanScavino/sta…', 'indices': [19, 42]}]}",2020-10-04 11:18:41,370067,64611
